scientific_name,alias,source,notes
Campylorhamphus probatus,Campylorhamphus cardosoi,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Carpodacus sibiricus,Uragus sibiricus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Catharus ustulatus,Catharus swainsoni,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Cecropis rufula,Cecropis striolata,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Cercopithecus mitis,Cercopithecus albogularis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Chalcites megarhynchus,Rhamphomantis megarhynchus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Chalcites meyerii,Chrysococcyx meyeri,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Chloris sinica,Chloris kittlitzi,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Chlorophoneus bocagei,Telophorus bocagei,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Chlorophoneus nigrifrons,Telophorus nigrifrons,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Chlorophoneus olivaceus,Telophorus olivaceus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Chlorophoneus sulfureopectus,Telophorus sulfureopectus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Chlorophonia cyanocephala,Cyanophonia cyanocephala,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Chloropsis hardwickii,Chloropsis lazulina,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Chordeiles nacunda,Podager nacunda,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
