scientific_name,image_url,image_author,image_license,image_source,image_crop_anchor,source_url,notes
Buteo jamaicensis,,,,,5,,Center crop override for Red-tailed Hawk
Homo sapiens,https://upload.wikimedia.org/wikipedia/commons/7/77/0_The_Vitruvian_Man_-_by_Leonardo_da_Vinci.jpg,Leonardo da Vinci,cc0/public domain,Wikimedia Commons,,https://commons.wikimedia.org/wiki/File:0_The_Vitruvian_Man_-_by_Leonardo_da_Vinci.jpg,Manual image override for Human
